Year,Round,SeasonRoundNumber,TeamID,Team,RatingAtt,RatingDef,RatingOverall,RankAtt,RankDef,RankOverall,Matches,Wins,Losses,Draws,For,Against,Percentage,Points,MR
2000,19,19,15,WC,-4.862,-2.775,-7.6370000000000005,10,11,11,19,7,11,1,1938,2020,95.94,30,39.473684210526315
2000,19,19,16,WB,5.307,3.025,8.332,6,5,4,19,10,9,0,2063,1988,103.77,40,52.63157894736842
2000,20,20,1,Adel,0.61,-0.947,-0.33699999999999997,7,9,9,20,9,11,0,2096,2110,99.34,36,45
2000,20,20,2,Bris,12.38,-2.242,10.138000000000002,3,10,3,20,10,10,0,2293,2110,108.67,40,50
2000,20,20,3,Carl,16.634,13.881,30.515,2,2,2,20,15,5,0,2459,1839,133.71,60,75
2000,20,20,4,Coll,-8.21,-9.386,-17.596,12,15,14,20,6,14,0,1913,2254,84.87,24,30
2000,20,20,5,Ess,26.752,20.236,46.988,1,1,1,20,20,0,0,2638,1600,164.88,80,100
2000,20,20,6,Frem,-15.385,-11.068,-26.453,14,16,15,20,7,13,0,1736,2362,73.5,28,35
2000,20,20,7,Geel,-3.095,-3.81,-6.905,10,12,11,20,11,8,1,2002,2060,97.18,46,57.49999999999999
2000,20,20,8,Haw,-0.668,0.689,0.020999999999999908,9,6,8,20,10,10,0,2019,2118,95.33,40,50
2000,20,20,9,NM,8.948,-0.402,8.546000000000001,4,8,4,20,13,7,0,2247,2129,105.54,52,65
2000,20,20,10,Melb,8.17,-2.735,5.4350000000000005,5,11,6,20,12,8,0,2261,1951,115.89,48,60
2000,20,20,11,Port,-17.281,3.639,-13.642,15,4,12,20,5,14,1,1701,2120,80.24,22,27.500000000000004
2000,20,20,12,Rich,-5.971,0.302,-5.6690000000000005,11,7,10,20,11,9,0,1933,2012,96.07,44,55.00000000000001
2000,20,20,13,St K,-18.548,-8.241,-26.788999999999998,16,14,16,20,2,17,1,1715,2358,72.73,10,12.5
2000,20,20,14,Syd,0.36,4.831,5.191000000000001,8,3,7,20,9,11,0,2050,2012,101.89,36,45
2000,20,20,15,WC,-8.383,-7.241,-15.623999999999999,13,13,13,20,7,12,1,2016,2128,94.74,30,37.5
2000,20,20,16,WB,3.686,2.495,6.181,6,5,5,20,11,9,0,2163,2079,104.04,44,55.00000000000001
2000,21,21,1,Adel,-0.919,-0.292,-1.211,8,8,9,21,9,12,0,2163,2208,97.96,36,42.857142857142854
2000,21,21,2,Bris,14.555,-3.215,11.34,3,11,3,21,11,10,0,2446,2173,112.56,44,52.38095238095239
2000,21,21,3,Carl,15.566,11.661,27.227,2,2,2,21,15,6,0,2542,1927,131.91,60,71.42857142857143
2000,21,21,4,Coll,-7.058,-7.302,-14.36,12,13,13,21,7,14,0,2011,2334,86.16,28,33.33333333333333
2000,21,21,5,Ess,23.158,19.525,42.683,1,1,1,21,20,1,0,2719,1692,160.7,80,95.23809523809523
2000,21,21,6,Frem,-14.462,-10.805,-25.267,14,16,15,21,8,13,0,1837,2462,74.61,32,38.095238095238095
2000,21,21,7,Geel,-3.861,-6.489,-10.35,10,12,11,21,11,9,1,2110,2186,96.52,46,54.761904761904766
2000,21,21,8,Haw,-1.323,2.218,0.895,9,6,8,21,11,10,0,2117,2185,96.89,44,52.38095238095239
2000,21,21,9,NM,6.864,-1.553,5.311,5,9,7,21,13,8,0,2327,2227,104.49,52,61.904761904761905
2000,21,21,10,Melb,10.849,-1.97,8.879,4,10,5,21,13,8,0,2387,2059,115.93,52,61.904761904761905
2000,21,21,11,Port,-15.062,4.707,-10.355,15,5,12,21,6,14,1,1789,2203,81.21,26,30.952380952380953
2000,21,21,12,Rich,-6.515,0.631,-5.8839999999999995,11,7,10,21,11,10,0,2016,2096,96.18,44,52.38095238095239
2000,21,21,13,St K,-17.575,-10.416,-27.991,16,15,16,21,2,18,1,1778,2511,70.81,10,11.904761904761903
2000,21,21,14,Syd,0.032,5.375,5.407,7,4,6,21,10,11,0,2134,2095,101.86,40,47.61904761904761
2000,21,21,15,WC,-8.646,-8.164,-16.810000000000002,13,14,14,21,7,13,1,2116,2229,94.93,30,35.714285714285715
2000,21,21,16,WB,4.398,6.089,10.487,6,3,4,21,12,9,0,2255,2160,104.4,48,57.14285714285714
2000,22,22,1,Adel,-2.885,-4.071,-6.9559999999999995,10,11,10,22,9,13,0,2255,2347,96.08,36,40.909090909090914
2000,22,22,2,Bris,16.379,-0.555,15.824000000000002,2,8,3,22,12,10,0,2602,2222,117.1,48,54.54545454545454
2000,22,22,3,Carl,15.485,13.881,29.366,3,2,2,22,16,6,0,2667,1979,134.77,64,72.72727272727273
2000,22,22,4,Coll,-6.591,-5.518,-12.109,11,12,13,22,7,15,0,2089,2431,85.93,28,31.818181818181817
2000,22,22,5,Ess,21.374,19.058,40.432,1,1,1,22,21,1,0,2816,1770,159.1,84,95.45454545454545
2000,22,22,6,Frem,-17.122,-12.629,-29.750999999999998,15,16,16,22,8,14,0,1886,2618,72.04,32,36.36363636363637
2000,22,22,7,Geel,-1.577,-6.893,-8.469999999999999,9,13,12,22,12,9,1,2234,2306,96.88,50,56.81818181818182
2000,22,22,8,Haw,-0.873,4.662,3.7889999999999997,8,5,7,22,12,10,0,2198,2251,97.65,48,54.54545454545454
2000,22,22,9,NM,5.856,-1.903,3.953,5,10,6,22,14,8,0,2447,2304,106.21,56,63.63636363636363
2000,22,22,10,Melb,14.138,-1.284,12.854,4,9,4,22,14,8,0,2557,2159,118.43,56,63.63636363636363
2000,22,22,11,Port,-11.283,6.673,-4.609999999999999,14,3,9,22,7,14,1,1928,2295,84.01,30,34.090909090909086
2000,22,22,12,Rich,-8.734,0.712,-8.022,12,7,11,22,11,11,0,2068,2221,93.11,44,50
2000,22,22,13,St K,-17.225,-9.409,-26.634,16,14,15,22,2,19,1,1855,2631,70.51,10,11.363636363636363
2000,22,22,14,Syd,0.437,3.091,3.528,7,6,8,22,10,12,0,2254,2219,101.58,40,45.45454545454545
2000,22,22,15,WC,-9.331,-11.454,-20.785,13,15,14,22,7,14,1,2216,2399,92.37,30,34.090909090909086
2000,22,22,16,WB,1.953,5.639,7.5920000000000005,6,4,5,22,12,10,0,2321,2241,103.57,48,54.54545454545454
2000,0,23,1,Adel,-2.762,-4.193,-6.955,10,10,10,22,9,13,0,2255,2347,96.08,36,40.909090909090914
2000,0,23,2,Bris,17.759,-0.606,17.153,2,9,3,23,13,10,0,2712,2298,118.02,52,56.52173913043478
2000,0,23,3,Carl,14.545,14.96,29.505000000000003,3,2,2,23,16,7,0,2754,2075,132.72,64,69.56521739130434
2000,0,23,4,Coll,-6.469,-5.641,-12.11,11,13,13,22,7,15,0,2089,2431,85.93,28,31.818181818181817
2000,0,23,5,Ess,24.471,20.3,44.771,1,1,1,23,22,1,0,3014,1843,163.54,88,95.65217391304348
2000,0,23,6,Frem,-17,-12.751,-29.750999999999998,15,16,16,22,8,14,0,1886,2618,72.04,32,36.36363636363637
2000,0,23,7,Geel,-2.196,-5.264,-7.460000000000001,8,12,11,23,12,10,1,2317,2398,96.62,50,54.347826086956516
2000,0,23,8,Haw,-2.501,5.282,2.781,9,4,7,23,13,10,0,2290,2334,98.11,52,56.52173913043478
2000,0,23,9,NM,4.614,-5.001,-0.38700000000000045,5,11,8,23,14,9,0,2520,2502,100.72,56,60.86956521739131
2000,0,23,10,Melb,13.059,-0.344,12.715,4,8,4,23,15,8,0,2653,2246,118.12,60,65.21739130434783
2000,0,23,11,Port,-11.161,6.55,-4.611,14,3,9,22,7,14,1,1928,2295,84.01,30,34.090909090909086
2000,0,23,12,Rich,-8.612,0.589,-8.023,12,7,12,22,11,11,0,2068,2221,93.11,44,50
2000,0,23,13,St K,-17.102,-9.531,-26.633000000000003,16,14,15,22,2,19,1,1855,2631,70.51,10,11.363636363636363
2000,0,23,14,Syd,0.559,2.968,3.527,7,6,6,22,10,12,0,2254,2219,101.58,40,45.45454545454545
2000,0,23,15,WC,-9.209,-11.577,-20.786,13,15,14,22,7,14,1,2216,2399,92.37,30,34.090909090909086
2000,0,23,16,WB,2.004,4.259,6.263,6,5,5,23,12,11,0,2397,2351,101.96,48,52.17391304347826
2000,0,24,1,Adel,-2.764,-4.191,-6.955,9,10,10,22,9,13,0,2255,2347,96.08,36,40.909090909090914
