Season,Team,ShotType,Goal,Behind,Score
2024,St Kilda,Set Position,161,97,1063
2024,Sydney,General Play,155,129,1059
2024,Sydney,Set Position,209,118,1372
2024,West Coast,General Play,78,73,541
2024,West Coast,Set Position,147,98,980
2024,Western Bulldogs,General Play,117,117,819
2024,Western Bulldogs,Set Position,184,110,1214
2025,Adelaide,General Play,39,24,258
2025,Adelaide,Set Position,53,18,336
2025,Brisbane,General Play,29,20,194
2025,Brisbane,Set Position,43,25,283
2025,Carlton,General Play,19,31,145
2025,Carlton,Set Position,32,23,215
2025,Collingwood,General Play,32,33,225
2025,Collingwood,Set Position,29,28,202
2025,Essendon,General Play,24,24,168
2025,Essendon,Set Position,27,9,171
2025,Fremantle,General Play,29,16,190
2025,Fremantle,Set Position,36,26,242
2025,Geelong,General Play,25,21,171
2025,Geelong,Set Position,50,19,319
2025,Gold Coast,General Play,27,24,186
2025,Gold Coast,Set Position,45,23,293
2025,Greater Western Sydney,General Play,33,20,218
2025,Greater Western Sydney,Set Position,38,25,253
2025,Hawthorn,General Play,21,15,141
2025,Hawthorn,Set Position,46,24,300
2025,Melbourne,General Play,21,23,149
2025,Melbourne,Set Position,21,22,148
2025,North Melbourne,General Play,20,16,136
2025,North Melbourne,Set Position,46,19,295
2025,Port Adelaide,General Play,27,24,186
2025,Port Adelaide,Set Position,36,27,243
2025,Richmond,General Play,22,17,149
2025,Richmond,Set Position,27,18,180
2025,St Kilda,General Play,33,20,218
2025,St Kilda,Set Position,37,28,250
2025,Sydney,General Play,20,20,140
2025,Sydney,Set Position,42,20,272
2025,West Coast,General Play,16,24,120
2025,West Coast,Set Position,25,18,168
2025,Western Bulldogs,General Play,30,21,201
2025,Western Bulldogs,Set Position,35,22,232
